Data Structure,time (ms),test number,test type
Binary Search Tree,0,16,random find
Binary Search Tree,0,16,random remove
Chained Hash Table,20,16,sequential add
Chained Hash Table,3,16,random add
Chained Hash Table,3,16,sequential find
Chained Hash Table,4,16,sequential remove
Chained Hash Table,1,16,random find
Chained Hash Table,0,16,random remove
Linear Hash Table,4,16,sequential add
Linear Hash Table,2,16,random add
Linear Hash Table,1,16,sequential find
Linear Hash Table,2,16,sequential remove
Linear Hash Table,1,16,random find
Linear Hash Table,0,16,random remove
Red Black Tree,11,16,sequential add
Red Black Tree,13,16,random add
Red Black Tree,5,16,sequential find
Red Black Tree,8,16,sequential remove
Red Black Tree,0,16,random find
Red Black Tree,0,16,random remove
Binary Search Tree,6395,17,sequential add
Binary Search Tree,4158,17,random add
Binary Search Tree,5549,17,sequential find
Binary Search Tree,2,17,sequential remove
Binary Search Tree,0,17,random find
Binary Search Tree,1,17,random remove
Chained Hash Table,61,17,sequential add
Chained Hash Table,15,17,random add
Chained Hash Table,14,17,sequential find
Chained Hash Table,10,17,sequential remove
Chained Hash Table,1,17,random find
Chained Hash Table,0,17,random remove
Linear Hash Table,4,17,sequential add
Linear Hash Table,1,17,random add
Linear Hash Table,1,17,sequential find
Linear Hash Table,3,17,sequential remove
Linear Hash Table,1,17,random find
Linear Hash Table,0,17,random remove
Red Black Tree,11,17,sequential add
Red Black Tree,13,17,random add
Red Black Tree,5,17,sequential find
Red Black Tree,8,17,sequential remove
Red Black Tree,0,17,random find
Red Black Tree,0,17,random remove
Binary Search Tree,6341,18,sequential add
Binary Search Tree,4154,18,random add
Binary Search Tree,5554,18,sequential find
Binary Search Tree,2,18,sequential remove
Binary Search Tree,1,18,random find
Binary Search Tree,0,18,random remove
Chained Hash Table,37,18,sequential add
Chained Hash Table,7,18,random add
Chained Hash Table,7,18,sequential find
Chained Hash Table,6,18,sequential remove
Chained Hash Table,1,18,random find
Chained Hash Table,0,18,random remove
Linear Hash Table,4,18,sequential add
Linear Hash Table,1,18,random add
Linear Hash Table,1,18,sequential find
Linear Hash Table,3,18,sequential remove
Linear Hash Table,1,18,random find
Linear Hash Table,0,18,random remove
Red Black Tree,11,18,sequential add
Red Black Tree,13,18,random add
Red Black Tree,5,18,sequential find
Red Black Tree,8,18,sequential remove
Red Black Tree,0,18,random find
Red Black Tree,0,18,random remove
Binary Search Tree,6363,19,sequential add
Binary Search Tree,4175,19,random add
Binary Search Tree,5557,19,sequential find
Binary Search Tree,2,19,sequential remove
Binary Search Tree,0,19,random find
Binary Search Tree,1,19,random remove
Chained Hash Table,28,19,sequential add
Chained Hash Table,6,19,random add
Chained Hash Table,5,19,sequential find
Chained Hash Table,5,19,sequential remove
Chained Hash Table,1,19,random find
Chained Hash Table,0,19,random remove
Linear Hash Table,4,19,sequential add
Linear Hash Table,1,19,random add
Linear Hash Table,1,19,sequential find
Linear Hash Table,3,19,sequential remove
Linear Hash Table,1,19,random find
Linear Hash Table,0,19,random remove
Red Black Tree,11,19,sequential add
Red Black Tree,13,19,random add
Red Black Tree,5,19,sequential find
Red Black Tree,8,19,sequential remove
Red Black Tree,0,19,random find
Red Black Tree,1,19,random remove
